gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
malF	553	89	471	123	2108	387	556	157
ilvX	10	57	14	45	5	44	5	18
malK	1533	128	515	28	4902	799	925	124
psiE	54	133	91	77	22	125	55	73
yjbT	1	12	31	14	10	16	36	41
malG	478	108	235	32	1517	345	257	53
xylE	20	37	67	49	618	56	227	34
tyrP	856	694	398	163	910	625	151	101
yecA	774	2246	267	242	536	2128	100	167
ftnA	9212	7685	1015	404	8175	5408	424	226
yecH	84	51	30	9	50	27	12	15
azuC	446	4296	80	174	228	2489	19	127
yecR	2307	3048	707	535	1543	2402	233	344
ftnB	215	136	88	59	196	132	44	25
yecJ	1706	2060	235	107	1286	1565	75	72
fecB	1704	1069	631	205	2016	1480	404	189
yjiG	23	33	70	44	18	25	34	21
fecC	368	170	447	102	651	312	263	111
yjhF	18	28	43	31	27	34	19	15
gspL	26	19	34	15	15	12	15	12
fecA	6447	3890	2139	671	8345	5786	1249	581
yebZ	274	395	482	328	248	349	179	193
yobA	1971	3960	218	179	1602	3017	102	131
pphA	8	33	24	20	10	36	20	25
bsmA	112	158	41	17	86	115	59	16
yebY	1487	2906	263	175	1183	2086	91	113
yebT	664	1057	387	255	536	758	161	172
rsmF	854	913	206	118	845	979	88	94
yebV	37	388	13	24	22	416	9	17
yebW	55	35	24	13	34	34	12	8
yjiJ	11	40	41	44	22	34	30	40
fecD	233	129	276	76	403	228	151	63
fecE	1021	480	243	63	749	537	113	62
dcuS	404	189	418	123	259	152	124	76
hemG	1155	885	244	95	740	794	91	88
yjfC	6	6	25	16	11	10	6	11
ubiD	4057	3497	2141	790	3817	3887	811	624
rpmB	52163	39902	9994	3491	52998	33419	5187	2801
glgX	522	775	772	529	476	938	314	337
fre	4831	3045	1063	297	3646	3416	371	264
pepQ	10013	9298	1756	684	7718	9459	665	460
fadB	118	2780	83	425	249	1918	51	223
trkH	704	535	683	276	711	588	226	183
yigZ	385	238	485	180	343	307	202	133
yciW	95	375	150	94	104	662	58	86
fabI	46951	34686	6110	1708	36912	69426	2446	2706
ycjD	13	4	51	13	10	13	14	22
sapF	806	394	317	85	660	675	120	114
yciZ	189	1515	108	160	136	1993	54	182
gmr	216	306	204	123	227	496	73	181
ymiB	6	3	1	0	3	3	2	1
rnb	17451	11887	4334	1559	17170	19784	1873	1823
yjfI	14	9	20	5	8	6	3	5
sapD	829	600	401	138	633	1035	149	169
sapC	595	418	322	111	591	792	139	126
gntU	202	155	159	80	304	130	127	61
yeiW	32	86	78	97	33	54	44	115
yjfK	4	2	11	14	9	6	3	2
yhgN	638	1062	198	96	701	841	78	83
psuK	6	26	11	7	6	17	7	8
yjfL	1	4	5	5	1	2	2	5
mlaD	2539	5100	743	430	2673	6484	316	342
psuG	34	73	134	118	66	70	52	60
rlmF	1116	1231	314	163	1279	1006	144	85
mcbA	50	105	10	11	49	108	6	9
galK	5270	2356	1722	707	6899	3805	865	508
galM	6115	5682	2218	1091	5554	5548	1046	687
gpmA	42607	19544	4741	1078	35654	22499	1977	862
aroG	3203	13698	628	948	3778	8483	283	422
ybgS	208	853	33	53	101	972	9	34
zitB	222	313	78	59	175	302	25	33
pnuC	109	136	68	57	104	164	36	43
nadA	177	118	74	44	153	130	23	31
ybiC	2091	5231	491	378	1670	5985	188	218
ybiB	2114	2546	485	256	1678	2646	207	191
alsC	21	38	86	29	36	31	29	58
asd	8339	19019	1498	1213	8512	22972	652	848
phnO	178	90	65	53	93	99	49	48
frmB	951	662	240	55	987	642	101	49
yaiL	1816	1881	294	129	1612	1616	133	73
mhpT	25	58	55	32	36	58	36	26
mhpE	52	92	48	31	44	94	23	15
atpE	37203	26634	5694	1525	32769	31208	2223	1033
yaiO	11	26	30	30	11	19	13	31
frmR	439	395	175	82	460	418	74	35
frmA	4587	2962	822	284	4411	3067	339	202
ychF	20048	12276	3184	905	13083	12027	981	692
pth	3015	1471	591	166	1865	1521	182	125
insD-1	0	0	0	0	0	0	0	0
insC-1	0	0	0	0	0	0	0	0
prs	41073	19555	9371	3416	29345	23067	3276	2632
ispE	1304	1136	2722	1197	1046	1214	1019	949
lolB	1959	2020	402	210	1917	1802	162	142
hemA	990	1019	842	457	954	1096	358	383
gadE	17	14	25	13	16	16	3	5
aroP	309	997	172	240	509	859	100	119
ampE	352	570	204	122	316	582	59	61
rpsU	51093	34129	8844	3601	55682	34076	4277	3269
hofC	11	15	53	25	15	8	23	24
guaC	13599	5501	2314	484	7548	6136	596	375
coaE	750	614	427	142	661	559	130	135
yacF	2461	1592	644	203	2666	1795	301	167
ampD	673	683	151	76	370	575	49	55
nadC	1515	714	336	124	1405	905	131	89
ppdD	6	5	7	4	9	1	5	0
hofB	24	21	57	31	29	23	19	31
ycbZ	2821	1129	1646	459	3073	1861	695	419
fabA	26758	10953	5360	958	23751	13304	2346	810
ydiZ	80	247	10	19	53	183	8	10
pfkB	1227	1380	213	122	1107	1418	91	73
infC	21416	17156	20794	11468	18826	15332	10539	7612
rpmI	53243	33565	9932	5259	58846	32509	6119	3988
thrS	29647	34023	11794	6057	33287	32373	4932	3565
ycbX	1984	2274	344	188	1556	2038	126	125
zapC	395	1511	209	248	453	921	102	171
uup	4262	3311	1647	562	4733	3683	766	412
rlmL	6107	4572	1938	775	6714	5384	809	531
pqiB	1515	934	849	217	1165	864	299	176
pqiA	598	373	534	178	523	430	205	162
rmf	1445	5181	401	878	620	4671	135	828
ymbA	1025	622	319	88	683	627	106	73
ymfM	19	45	17	13	14	69	5	14
ymfL	30	74	26	30	63	156	15	35
ymfQ	1	2	3	7	3	4	6	5
dctR	4	5	5	3	4	8	3	1
ymfR	0	0	1	2	3	3	0	4
ilvC	625	3038	292	350	465	2314	208	242
tfaP	17	45	13	11	8	23	3	6
stfP	5	12	42	17	7	17	24	12
ppsR	1138	2921	196	161	646	2301	67	82
yfgC	2717	3458	1269	678	1573	3475	351	461
nohD	5	3	0	2	2	2	0	0
ylcI	31	9	5	4	17	12	0	1
yfgO	1091	1545	510	291	1103	1474	180	195
borD	11186	17439	1307	768	13798	9225	656	484
rzoD	1	8	0	0	1	1	0	0
ybcW	21	12	26	19	23	6	2	2
ybcV	6	4	75	69	2	8	20	45
essD	4	5	6	1	8	5	3	5
insH-2	0	0	0	0	0	0	0	0
rzpD	3	11	18	10	3	3	9	3
rrrD	13	5	13	16	13	11	5	8
ybdN	32	14	25	17	24	28	2	8
ybdM	124	171	21	20	114	155	10	16
ybdL	115	343	44	49	143	281	29	41
ybdH	62	212	112	72	77	158	27	51
ybdD	171	729	25	56	138	608	18	27
cstA	447	4389	387	1035	1087	3941	326	492
entH	22	25	21	19	29	53	13	8
entA	55	41	33	23	92	96	26	20
yfbK	17	52	52	42	13	44	22	32
yfbL	16	37	10	9	17	22	11	6
yfeC	175	218	91	104	124	163	98	83
yfeD	222	382	141	106	264	361	46	87
dsbG	1183	1178	180	91	908	1102	71	71
ybdO	30	21	8	4	18	21	5	3
pheP	1893	1793	940	490	2388	1593	453	257
cusA	73	106	97	79	94	72	50	64
cusB	28	55	40	19	30	41	14	11
cusF	36	76	7	9	30	75	5	3
cusC	6	11	15	16	12	11	12	22
cusR	398	484	144	83	365	391	45	61
cusS	289	179	144	87	274	148	73	69
nfrB	67	122	96	73	113	183	42	62
hyfG	72	87	86	29	84	93	41	32
nfsB	9646	5656	1169	328	7094	5146	454	231
mscM	1110	1688	583	340	932	1403	190	225
rne	15288	18936	5812	2765	16094	19826	2759	1998
flgL	21229	23896	5031	2279	9417	22500	1284	1633
flgK	15879	15176	6327	3052	9474	18032	1806	2332
flgJ	1691	2169	1617	780	1365	2212	520	500
flgI	6267	9596	2934	1758	5281	10487	897	1064
flgH	4841	11041	2561	1502	4326	11909	890	963
flgG	25763	25306	7110	3192	17835	28111	2221	1987
flgF	11251	10576	7527	3422	9085	12342	2463	2103
nfo	1576	3324	320	265	1155	3111	142	224
yeiI	98	140	176	132	108	118	70	110
nupX	15	23	61	59	7	18	18	33
rihB	4	27	11	17	11	16	6	8
cirA	180	642	205	319	416	1137	87	262
lysP	2589	1997	1444	663	3532	2483	691	495
rluC	4181	2693	1297	395	3444	2130	425	280
yceQ	1	1	4	1	4	2	0	3
ppiC	3689	2515	439	100	2763	2428	171	97
nrdD	3200	1047	952	186	3135	1216	515	154
glcG	327	360	62	25	273	549	33	17
glcB	1587	1584	388	198	1286	2262	166	177
glcA	27	46	103	111	41	49	57	71
yghJ	3682	309	2342	257	4399	1176	1351	351
pppA	140	19	222	35	175	42	71	43
yghG	269	45	75	8	268	65	22	14
yghD	16	27	25	13	21	34	10	11
tktB	597	2177	618	590	369	3082	168	339
erfK	194	467	113	93	162	540	50	74
cobT	391	576	206	112	335	526	69	72
cobS	477	584	162	93	384	560	72	55
yeeO	84	110	111	67	69	115	30	49
eutS	1	10	1	4	3	7	0	5
cbl	37	110	28	25	42	71	13	25
nac	29	22	24	14	14	22	5	15
cobU	144	173	101	63	79	153	49	47
nudK	672	1143	102	82	415	1110	39	64
aegA	126	525	111	109	116	452	54	106
gpp	1535	709	1221	469	1240	782	557	352
lsrD	37	63	52	30	79	100	38	28
lsrC	9	18	26	18	9	29	12	10
lsrK	43	71	85	42	47	68	28	42
lsrA	23	38	29	36	33	48	35	23
lsrR	212	237	60	41	301	284	52	35
hipB	150	257	47	30	106	149	12	19
hipA	444	505	149	94	342	424	54	71
ybhT	3516	2029	701	235	2386	1463	224	184
astD	27	305	191	216	26	315	87	96
astB	19	129	36	58	28	137	14	25
yjhH	109	134	28	23	170	143	14	17
ugpA	29	53	8	17	27	62	4	13
modA	3702	5035	923	527	2413	4842	285	380
nadE	3883	3952	460	212	2971	3289	178	127
osmE	1052	5088	154	216	704	3962	66	126
chbB	196	591	45	44	206	368	22	28
chbC	28	43	44	30	71	41	21	31
astE	8	95	20	22	6	45	10	20
modB	643	883	646	354	500	989	202	259
ves	962	3635	369	411	469	2647	93	298
cho	223	265	178	128	169	186	75	86
modC	1151	1530	676	352	622	1527	205	286
quuQ	28	32	83	51	27	32	31	28
selB	2464	1966	957	336	2096	2370	421	261
galT	2695	1502	1219	276	4165	2199	749	239
galE	10728	5465	1519	373	10547	7203	1182	343
gatB	3126	8813	835	837	6135	10382	485	526
gatA	6079	10814	1802	1584	8367	12952	1141	1063
prmA	3241	2047	579	166	3606	2526	303	142
panF	698	349	559	175	803	485	256	126
yqiJ	40	33	17	11	26	32	5	13
modF	765	838	438	242	656	839	165	175
yhdU	146	92	36	18	142	65	7	10
yhdJ	4	18	33	21	20	9	22	17
yhhW	689	700	107	40	537	824	46	33
yegR	18	62	16	21	17	46	8	11
yegS	131	346	31	69	88	378	11	66
modE	1638	1112	283	117	1342	1049	120	75
insE-5	0	0	0	0	0	0	0	0
insF-5	0	0	0	0	0	0	0	0
gatD	4647	8743	871	630	8045	12570	558	429
gatC	7813	22387	4108	4297	12679	30407	2554	2949
ypjA	134	204	251	181	121	166	104	148
rzoQ	4	4	4	2	1	6	1	2
paaK	66	203	53	59	88	158	31	41
paaJ	59	116	54	78	46	78	25	40
paaY	500	579	111	67	329	561	33	43
paaX	474	570	187	105	330	508	72	87
ynbG	0	0	1	1	0	0	0	0
insC-2	0	0	0	0	0	0	0	0
insD-2	0	0	0	0	0	0	0	0
ydbC	252	624	65	56	237	609	34	34
insI-2	1	6	0	0	4	5	0	0
yrhD	0	0	1	3	0	0	0	1
ygjP	409	278	96	41	311	281	32	33
rlmG	1059	1377	249	170	1443	1373	122	110
higB	22	23	29	18	24	19	14	9
higA	249	223	56	21	190	175	10	19
fadH	83	324	108	121	150	302	88	67
ygjK	48	46	305	220	62	42	173	233
ygjJ	10	9	48	54	12	7	26	29
ygjI	14	9	24	12	34	19	11	9
ygjR	610	533	188	85	521	551	132	62
ygjQ	12	5	14	6	5	8	5	5
polB	743	459	1617	395	1251	615	915	425
araD	34485	32671	12339	4951	44221	34893	6828	3712
rluA	245	182	283	103	443	280	227	100
rapA	4353	2661	1375	449	8027	5528	904	486
djlA	917	692	337	131	931	763	147	95
surA	11594	12656	3897	1788	9493	11677	1594	1173
lptD	13181	14751	4312	2085	12923	13874	1677	1328
rsmA	6155	4000	1544	435	5596	3798	703	299
pdxA	1219	600	1462	419	1158	679	609	341
qorB	446	534	71	29	339	545	26	20
ytfH	159	168	202	153	83	176	61	98
yidI	102	78	58	24	59	55	23	19
wcaM	64	88	81	73	54	73	27	50
chaA	1230	1696	493	287	1361	1359	250	185
frvA	10	5	5	0	6	7	3	1
gudX	43	49	97	50	31	36	27	34
gudD	740	475	170	60	483	547	45	44
cysQ	1625	2215	397	221	1281	1913	169	147
thiH	68	60	111	48	73	62	49	40
arnB	45	245	32	58	26	189	16	35
pyrG	55859	37151	14888	4354	55268	42336	6037	3187
eno	171958	32311	29598	3189	153031	62353	11949	3444
mazF	453	357	235	89	317	321	63	60
mazG	1575	915	493	164	1155	879	171	150
relA	4417	3609	2663	1110	3425	3458	976	734
mazE	729	932	291	144	456	749	99	97
barA	1693	955	1121	378	1441	961	425	286
rlmC	2907	1721	890	294	2647	1666	390	203
ytfK	2152	4239	461	501	1568	2905	216	365
insF-2	0	0	0	0	0	0	0	0
yjiR	161	614	147	214	148	583	69	139
kdsA	16103	9866	2310	690	12465	11612	790	551
arnF	6	13	3	8	5	15	3	5
ytfN	1360	1206	1588	720	1309	1025	643	490
yhcA	15	14	25	15	19	12	14	34
glpD	85650	91877	19238	9387	83624	115739	8854	6808
flhD	2988	3892	705	429	2626	2708	276	274
flhC	2533	4235	1294	805	2630	3539	449	533
insA-5	0	0	0	0	0	0	0	0
insB-5	0	0	0	0	0	0	0	0
otsA	464	1222	151	128	496	1306	93	105
uspC	46	78	23	27	31	52	20	16
araH	1440	2108	605	380	2254	2437	375	255
otsB	104	214	65	67	103	229	45	52
araF	3906	8115	861	741	6879	7630	939	476
araG	2000	3105	1045	800	3158	3507	915	580
frvX	24	23	38	20	20	17	20	11
rplB	95070	96845	40808	16708	153016	102160	24269	9712
treR	424	667	106	65	390	571	37	57
arcB	2210	1905	1078	435	1693	1802	453	286
hemC	4197	2789	1184	402	2733	2888	459	383
lplA	1042	909	388	118	880	994	165	137
uxuB	805	850	272	197	1234	896	176	124
symE	45	47	26	17	43	41	11	15
edd	355	220	685	340	498	266	321	227
eda	11589	11070	1666	714	9339	10947	672	478
purT	813	343	147	60	335	435	54	49
yebG	776	1015	107	66	599	841	68	65
yebF	224	840	128	84	175	771	49	78
yebE	207	284	62	60	103	192	31	25
ptrB	323	444	166	66	428	470	63	57
exoX	740	1766	221	172	562	1533	75	93
yobB	121	107	106	59	87	114	40	27
holE	771	1618	109	60	668	897	22	34
sgcR	43	35	30	15	32	41	15	9
rplV	53688	39788	18793	7649	88502	40855	11030	4383
murI	2387	1164	925	261	1766	1393	381	233
ypjF	53	23	13	6	15	20	5	2
fimG	44	111	29	22	82	147	14	27
btuB	6265	8614	1438	810	6795	7776	676	543
yhcD	51	35	99	76	21	26	49	49
trmA	2684	1632	981	413	2913	1724	389	273
yihQ	41	31	94	53	68	38	64	87
yihR	19	31	24	21	11	32	19	17
yihN	62	30	42	24	96	51	19	18
ompL	12	18	6	2	8	11	3	3
yihO	17	12	51	29	14	9	16	21
yihP	20	25	31	9	24	17	20	12
glnA	14045	13487	2276	1031	14946	12950	1063	594
typA	44146	28549	13619	4365	38764	36292	5085	3400
yihL	114	164	50	33	147	153	33	17
yihM	260	354	68	53	311	320	41	28
yciH	873	542	304	100	668	928	102	130
pyrF	3889	4371	810	285	2942	7237	268	440
yciM	609	483	752	285	565	903	180	455
yciS	895	959	366	184	608	1663	77	201
pgpB	310	331	188	112	193	526	70	126
ribA	3407	1418	608	189	2369	2681	234	226
acnA	2013	6769	669	779	2244	13543	307	892
yciX	244	212	94	40	129	180	17	37
oxyR	4170	8147	1177	813	2519	6868	344	475
yciT	1919	4324	381	488	1644	5454	184	528
osmB	340	740	49	59	237	1576	10	101
ftsP	2288	2264	970	527	2059	2218	454	340
speE	4298	4004	1040	442	6499	3987	650	299
ybiH	324	334	239	94	273	251	119	70
rhlE	1389	1795	537	250	1675	1515	246	189
ybhA	3204	1556	424	97	2706	1519	158	90
pgl	7339	6791	940	361	4923	7389	321	245
yacC	549	490	159	99	465	488	67	74
ybhP	17	98	31	29	13	110	7	25
ybhQ	500	335	283	140	433	299	192	127
ybhN	4	8	20	11	12	11	10	15
ybhO	40	100	42	42	20	138	16	33
ybhF	465	405	395	170	388	401	139	111
ybhG	724	809	294	121	429	670	91	72
ybhR	193	132	125	40	134	128	44	39
ybhS	283	194	145	65	211	174	52	45
ygiS	341	472	175	122	687	540	138	103
yaiP	68	76	65	39	73	43	31	32
yaiS	12	9	8	5	22	11	1	4
tauA	14	29	27	19	12	23	5	15
tauB	4	9	7	5	5	6	7	7
tauC	14	20	21	8	10	12	4	8
tauD	38	69	32	15	26	64	15	8
hemB	7612	4197	1402	389	6736	4575	612	284
ytfL	507	828	292	201	513	785	91	161
ldrA	0	0	0	0	0	0	0	0
insE-2	0	0	0	0	0	0	0	0
ychA	898	656	744	342	655	782	238	216
ychQ	74	70	230	95	43	47	83	83
ldrC	0	0	0	0	0	0	0	0
ldrB	0	3	12	4	0	1	3	7
yhdV	127	74	19	14	71	45	9	3
yjfM	4	7	7	7	22	4	6	2
helD	1519	1342	689	310	1026	1189	242	226
mgsA	5700	4556	743	267	4897	3835	357	221
yccS	766	583	707	351	942	720	320	228
yccF	864	1169	189	101	994	1006	82	79
sulA	1034	2203	254	316	743	2088	92	248
sxy	73	81	61	74	68	70	31	35
matP	710	805	153	70	479	496	54	64
ompA	406113	316346	78946	25961	417442	419019	40884	22410
pdhR	5542	3433	4198	1322	6053	3177	1653	943
aceE	223338	103531	75142	17377	297413	142121	38725	12134
aceF	141524	67722	50514	12234	190999	85342	25945	8085
lpd	119334	77427	29520	7979	134793	86923	15056	6115
yacH	13	20	28	26	24	27	6	11
acnB	52967	70578	13081	8294	66194	70881	6709	4986
yacL	915	684	211	70	711	663	118	53
yccU	2075	2401	305	117	1269	2117	108	86
ydcN	171	173	90	29	110	139	27	27
yccT	16	47	10	16	7	49	9	15
speD	2914	2122	919	284	3684	2115	526	215
ymfI	749	1343	100	59	538	890	34	36
ymfJ	59	171	89	82	44	299	47	96
intE	42	97	45	72	34	163	19	68
xisE	14	75	17	36	14	149	6	18
ymfE	194	37	69	10	228	43	23	16
lit	509	160	72	24	322	179	21	13
icd	80960	116365	10989	6456	72877	110238	4772	3941
ymfD	218	45	134	39	172	43	61	47
cohE	737	826	286	157	521	554	82	114
croE	17	52	7	8	10	97	4	12
murQ	597	647	90	49	923	791	94	54
ybcH	209	186	62	29	215	269	36	44
nfrA	360	488	339	181	381	632	202	195
tehA	245	330	163	86	201	268	64	79
pflD	134	145	91	39	141	208	43	36
envY	28	32	30	15	20	34	12	13
appY	171	45	124	16	141	53	28	11
ompT	77142	62659	9556	4240	78302	50063	4732	2806
fepD	144	139	94	42	224	230	72	72
entS	208	233	120	86	407	425	96	81
fepB	389	605	124	60	465	650	54	52
entC	152	392	64	72	354	540	55	46
entF	241	255	213	105	302	426	100	103
ybjP	2003	2110	268	104	1210	1792	75	88
fepC	145	155	170	72	205	206	62	42
fepG	69	71	108	49	147	108	60	64
nuoI	2675	5749	1339	1067	4518	8150	773	674
yccE	34	22	27	12	31	20	16	4
entE	119	189	72	82	301	279	80	48
entB	103	173	37	28	220	256	26	17
rplL	140033	151141	24828	10231	177082	118741	14949	6726
hokE	1	1	4	3	2	2	3	5
artI	6454	5770	709	297	7619	6744	421	247
entD	18	19	29	23	13	9	8	24
fepA	129	421	104	127	292	501	67	80
ybdF	223	334	61	42	135	247	32	39
ybdJ	301	398	63	61	341	326	46	45
ybdK	77	153	52	52	73	204	24	41
cbpM	488	399	133	58	293	407	49	39
ydcL	1227	1859	214	128	1070	1507	87	92
fes	47	52	39	14	66	86	37	26
artM	416	531	349	146	732	755	215	136
torA	65	108	162	124	59	98	69	113
torC	7	7	38	23	45	10	19	10
yfdT	11	21	23	12	24	13	12	12
torR	465	325	133	49	334	295	39	35
torT	62	67	40	22	51	62	21	28
yeiG	906	6285	177	373	603	4482	73	196
folE	5048	9742	909	973	4216	10237	296	733
yeiB	147	192	285	269	175	272	130	232
galS	158	318	77	101	311	445	98	81
mglB	4424	26225	964	2042	10034	24141	776	1279
torS	56	89	165	94	87	96	55	43
mglC	1262	3239	443	442	3044	4266	412	356
preA	99	306	118	109	140	350	47	56
preB	148	345	38	74	198	413	24	37
yeiS	163	377	39	27	139	191	13	27
purC	3987	1867	461	142	1463	2510	109	124
ypfJ	1550	3112	507	368	948	2733	192	287
yggG	4296	2139	633	146	2871	2087	270	95
speB	10710	4955	1391	261	11127	5724	667	226
galP	8155	4631	3644	919	10538	5377	2599	702
yggI	495	258	192	48	450	187	63	44
yqgC	0	0	1	10	1	0	6	2
metK	23187	15223	4811	1653	23883	19478	2020	1373
acrD	240	614	171	194	250	600	99	169
narQ	164	423	154	199	149	393	85	182
yffB	1340	6291	180	249	1608	5434	91	165
ypfM	502	1569	102	138	433	1117	53	96
ypfN	231	881	102	143	251	702	55	70
dapE	1501	4965	560	813	1614	5006	266	514
tmcA	314	351	553	291	316	417	199	237
ypfH	662	898	183	93	495	964	77	96
amn	2323	3571	431	276	1654	3857	155	221
shiA	301	935	177	172	311	780	102	148
yeeJ	143	134	316	158	170	123	105	90
mtfA	712	1243	197	144	738	1074	99	108
yodB	34	55	13	4	27	48	3	5
yeeN	5416	1905	898	125	3818	1891	274	106
ydgJ	1380	2759	451	309	924	2585	164	191
yiiG	55	26	43	16	45	30	11	11
yjbB	449	538	278	140	498	549	100	98
exbD	700	651	472	176	942	752	248	144
dcyD	948	1167	301	169	850	1061	94	90
frvR	12	9	43	31	11	14	19	19
fecR	225	172	110	64	253	216	72	49
ftsE	1947	1962	917	366	1527	1720	388	304
pgi	19912	6418	4061	723	17524	10960	1556	750
hyfI	53	69	102	44	50	64	43	42
deoD	14063	6558	2180	595	19248	8393	1119	436
accB	15610	21319	2768	1126	15302	21815	1294	849
thiM	246	260	97	114	241	341	44	113
thiD	180	197	74	56	175	265	30	53
mreB	19015	23391	3491	1584	18502	23142	1599	1180
csrD	316	272	551	211	319	252	205	177
mreD	469	234	449	115	429	313	222	98
mreC	1638	1078	1662	496	1877	1394	802	422
yegT	52	208	83	62	66	234	35	42
fbaB	599	4948	164	326	378	5512	50	272
gatY	26925	71918	5720	7202	37196	77215	4343	5139
gatZ	20456	65030	6845	8020	33337	81213	4498	5455
yegX	13	24	40	57	19	23	12	41
yegW	383	688	122	91	269	549	32	79
yegV	83	263	74	99	107	250	34	64
yegU	273	747	91	102	323	729	42	53
yebQ	101	82	69	40	102	93	38	23
ilvL	774	3260	1323	1072	609	2769	638	885
ynbD	46	58	78	62	45	52	39	71
azoR	2049	2656	212	113	1566	2339	86	80
hrpA	4653	3404	2092	757	4945	3643	804	529
ydcF	966	1647	265	173	681	1570	95	136
ydbD	22	45	67	50	17	33	20	35
ynbA	4	6	7	4	2	4	5	7
ynbB	38	34	38	38	18	11	23	20
ynbC	14	30	32	41	13	25	29	25
treB	11626	10278	3804	1356	25193	15080	4168	1360
cbrB	42	10	22	8	19	16	5	5
cbrC	73	55	68	40	40	56	21	19
aldA	3326	19875	779	1517	6446	18092	544	809
tdcA	37	9	35	22	42	12	108	13
tdcR	0	0	1	1	0	0	2	0
tdcG	67	62	255	109	59	72	106	85
tdcF	58	73	18	6	63	57	10	6
yhaM	1079	634	359	113	514	683	102	82
yhaO	72	64	172	59	76	57	94	51
tdcC	200	232	101	52	202	295	38	39
tdcB	57	17	30	15	69	23	9	10
tdcE	200	104	135	33	333	124	57	43
tdcD	57	39	74	41	86	40	34	42
yidA	3537	2824	585	233	2247	2805	214	161
yidB	627	776	121	46	387	557	19	31
yggW	948	573	659	244	1005	723	286	164
sgcB	19	18	5	1	17	17	3	3
yidR	817	898	258	101	577	993	66	73
cbrA	27	16	31	8	25	14	9	11
dgoT	21	17	37	31	15	23	17	9
dgoD	91	131	50	39	68	127	102	275
dgoA	22	46	15	14	23	53	16	12
gmk	4471	2962	1599	568	3653	3079	554	433
dgoR	760	792	98	62	514	763	42	33
yidX	78	49	76	48	124	42	25	33
agaI	27	21	64	24	23	30	18	14
rffA	2889	1298	799	214	2634	1758	333	162
apaG	267	205	536	126	253	255	246	113
apaH	1293	999	425	109	1254	1094	162	87
yraH	64	78	22	13	47	51	17	10
kefF	182	229	62	38	131	202	28	24
yaaU	20	20	53	42	23	29	19	25
folA	2676	1716	527	160	2604	1626	179	119
kefC	201	298	204	111	260	332	104	89
fixB	33	21	28	9	51	29	7	7
fixA	22	19	12	3	28	11	7	8
fixX	19	16	5	5	9	25	3	3
fixC	33	33	42	39	28	43	20	14
rtcA	70	94	118	73	73	108	68	64
yraJ	24	21	59	37	21	13	30	32
aspA	11598	3485	4419	996	8733	3599	2373	741
yraK	40	36	28	17	36	32	20	10
rsmI	1326	941	285	118	1132	1040	107	88
yfbP	43	60	24	46	27	58	9	26
lpoA	2945	3499	1558	684	2847	2933	686	463
yfbO	17	28	11	11	21	18	7	6
yraN	118	109	296	140	116	87	151	126
yfbN	31	57	9	8	37	57	1	5
yidF	37	31	56	28	41	44	105	33
yjaB	128	138	43	14	102	111	15	8
yfbM	30	49	13	17	15	37	8	5
yqcG	7	2	6	2	2	5	1	0
ygcG	58	23	21	12	44	17	9	9
aceK	97	142	571	611	116	162	290	564
yidG	45	66	38	15	29	43	30	14
ygcW	24	10	10	5	50	20	9	2
nuoK	1656	2356	571	379	2931	3734	384	323
ygcE	85	95	66	41	83	109	22	21
queE	3223	1757	411	127	2703	2114	179	112
ygcQ	57	39	78	37	48	54	27	31
ygcR	30	47	39	39	24	41	40	41
ygcS	11	8	18	23	16	16	10	18
fepE	18	23	12	13	13	14	4	6
nuoM	5696	11282	3423	2792	9504	17949	1942	2000
nuoN	6333	11116	4164	3362	9717	16582	2267	2674
ilvN	207	3477	34	340	282	1827	35	143
frvB	17	17	43	16	11	14	11	8
hisC	417	777	125	110	620	1062	57	86
nuoJ	1868	2906	1083	811	3332	4401	682	506
yjjX	752	745	186	82	595	715	71	68
glk	1376	4203	285	323	1392	4108	148	268
fryB	3	18	1	5	3	9	4	1
tap	3432	9463	3532	2852	2101	10375	826	1933
tar	12714	20547	5409	3658	8023	23439	1300	2357
cheW	15085	14148	2136	843	7093	14402	507	648
cheA	20329	20635	7077	3477	10551	23705	1671	2446
cheZ	8668	9448	2221	1102	4806	9175	559	745
cheY	8166	11303	1266	683	4341	10583	412	555
cheB	1914	3251	1322	800	1178	3808	406	591
cheR	1191	1547	1238	870	670	1879	280	642
motB	1959	2589	1874	1349	1136	2625	386	876
motA	3784	8184	2211	2278	1970	8126	440	1366
mocA	156	138	35	8	165	105	19	6
ygfK	241	411	246	124	170	254	52	45
ssnA	266	222	113	70	37	31	34	33
ygfM	65	27	27	7	64	35	10	6
xdhD	241	128	291	93	210	106	144	101
xanQ	27	16	172	95	26	28	130	246
guaD	209	165	82	28	204	106	38	24
insL-2	0	0	0	0	0	0	0	0
ygfS	50	25	86	34	41	27	18	20
ygfT	198	222	133	79	71	30	44	45
serB	1488	1098	685	371	1536	1274	305	201
ilvY	270	323	192	74	172	334	68	50
dcuA	4232	4530	2391	989	3544	4460	948	646
yeaX	25	34	26	17	30	39	5	11
rnd	993	949	433	188	979	921	168	136
ycjO	3	11	18	8	12	11	6	3
ycjP	10	10	11	3	6	21	3	5
creA	1742	3645	306	168	1546	2794	99	114
glnL	179	209	306	157	234	229	153	120
glnG	702	908	359	167	562	896	154	141
pspB	264	468	73	57	197	647	27	65
pspC	162	388	62	60	195	599	29	79
pspF	293	558	95	61	223	712	43	60
