gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
phnD	22	18	15	3	22	14	7	7
yfdP	7	18	10	11	2	18	0	6
yfdQ	92	174	24	19	81	181	14	16
yfdN	1	4	3	2	1	3	0	1
phnC	6	6	8	5	3	1	1	8
yfdK	38	234	24	26	34	119	10	25
yigM	142	67	146	37	242	116	97	51
yfdR	7	13	7	8	8	7	5	5
yfdS	10	23	12	11	4	14	3	2
ugpQ	967	916	232	90	649	1004	83	80
rspA	79	42	23	11	99	51	20	13
rspB	61	36	18	8	66	41	10	4
ydfD	0	2	1	1	3	0	0	1
rhtB	114	178	55	31	105	192	22	25
ydfC	40	66	8	5	26	35	9	4
ydfB	5	6	6	2	10	1	3	1
dicB	1	3	2	3	2	5	1	1
rfbD	3192	5547	1377	828	4190	6547	614	588
rfbB	7322	12385	1702	1086	8735	14139	649	757
rfbC	2486	3364	610	368	2842	3797	252	226
rfbA	5738	9699	1147	716	6837	10841	503	491
wcaL	28	63	42	58	29	69	16	30
wcaK	58	128	23	27	65	140	10	20
galF	9146	17830	2524	2157	7560	17059	761	1432
yafP	98	73	26	14	76	76	12	8
ydhR	1408	3543	255	239	959	2284	98	142
wzxC	12	15	21	35	20	18	10	10
wcaJ	11	15	22	30	30	34	19	11
pepD	18416	8743	3099	1018	14845	9755	1261	783
nanS	41	65	24	22	42	59	14	7
ugpC	127	214	108	58	178	243	53	49
gltD	2838	6471	1493	1503	3561	6198	750	861
gltB	6863	21604	3295	3852	9879	25341	1709	2242
ypjD	1774	1870	747	350	1557	1803	212	264
yfjD	1090	1076	918	434	1036	1122	288	290
elbB	4502	4553	847	267	2918	4637	296	212
yhcC	138	20	64	26	104	16	37	21
alaA	3022	7909	708	787	2044	7201	215	459
yfiB	1082	824	158	67	721	703	70	62
dinB	147	143	157	76	108	172	65	68
yfiR	189	140	172	117	136	120	84	109
yfiN	214	120	170	58	167	106	74	39
rpsP	35083	75780	6008	5314	54661	55838	3571	3493
ffh	18070	8333	4653	1209	15128	9599	1761	935
trmD	3773	6754	9885	9893	5955	5357	6217	6022
rimM	4970	6297	9741	8517	6430	4352	5812	5364
hisI	806	2007	187	177	873	1860	85	103
cld	6365	16206	2599	2645	6258	12838	894	1860
yqhD	4070	1571	587	136	2911	2106	225	145
yqhC	412	780	118	66	339	672	45	35
plsC	1556	1825	533	271	1671	1784	237	171
yafO	96	84	28	20	50	91	6	16
ygiQ	2840	2564	900	519	4148	2847	515	355
yqhH	6	3	2	4	9	9	3	4
hisL	67	383	182	340	57	220	123	430
hisG	442	1137	89	94	666	1183	65	71
hisD	383	652	174	118	538	928	73	86
ydaM	94	486	65	43	102	450	22	46
hisB	993	1983	265	338	1023	2154	111	222
hisH	379	1209	167	164	440	1404	65	86
hisA	348	775	160	164	334	989	64	94
hisF	475	809	141	165	475	976	60	124
ibsE	2	1	21	15	3	0	17	23
yqgA	110	75	59	27	106	77	34	17
sgcQ	57	54	28	8	50	76	13	5
narW	17	12	21	17	16	23	8	15
narV	29	18	16	11	20	18	8	5
narZ	116	146	95	45	131	258	42	60
narY	40	38	40	14	41	42	13	23
yddJ	6	5	2	0	1	6	0	1
narU	4	33	24	21	24	87	6	18
malP	5338	897	1467	135	10106	4422	1251	306
malQ	1536	475	955	145	2961	1265	688	199
fdnG	1606	223	879	111	3503	554	1314	93
yddG	418	739	134	93	298	537	52	73
gntX	53	80	487	150	80	61	222	107
bioH	1013	941	237	102	835	1018	74	69
yhgA	104	111	75	62	133	117	39	62
feoC	82	71	133	53	90	88	93	54
feoB	4013	1891	1374	384	3768	2934	815	311
feoA	898	377	199	67	652	409	142	30
yiaC	55	60	48	26	46	59	19	21
tag	447	502	95	56	296	465	39	40
yhjY	33	145	34	48	38	169	16	35
yhjX	431	627	173	184	465	920	144	116
eptB	364	151	306	93	316	180	122	86
yheO	1378	1177	620	229	1000	1145	203	159
dppA	1232	4899	380	484	1679	3138	244	259
dppB	76	325	76	97	194	312	37	50
fkpA	22178	13551	3567	870	15121	11623	1253	676
yiaD	4266	1491	605	102	3704	1914	281	91
bisC	1011	1602	567	291	933	1783	204	223
ytjC	2408	2850	538	295	2740	2556	275	182
amiB	1136	1379	760	364	876	1540	295	267
trpR	798	579	183	48	706	555	55	48
slt	1228	1433	497	242	995	1425	188	161
yjjK	23742	13537	5478	1589	22358	15977	2237	1191
nadR	1339	1776	532	248	1138	1586	221	181
radA	1133	1398	753	390	1210	1454	304	234
ypfG	53	289	74	164	26	219	33	112
maeB	6569	18527	1466	1609	8399	17972	675	842
ypdE	30	78	33	33	25	89	20	37
frdD	457	312	149	79	289	254	56	33
talA	334	1736	76	157	284	2438	34	119
eutP	7	10	6	10	6	21	2	7
yhbP	112	185	54	56	114	193	27	12
ybhB	1113	866	246	83	710	873	120	85
slyD	40810	19770	6308	1646	37053	20731	2746	1284
eutT	5	20	15	24	9	11	5	9
ybhC	9819	7934	2156	778	8348	8014	890	486
eutQ	28	98	24	18	32	126	12	7
fryA	110	373	117	104	86	386	26	72
ybiR	351	274	310	108	316	271	118	89
yqiK	60	38	41	25	32	44	23	14
bioA	521	210	174	49	2254	563	227	49
insC-5	0	0	0	0	0	0	0	0
ybiY	5	6	13	6	6	2	7	4
ygiL	70	61	23	4	76	41	9	12
yqiC	2718	2067	381	156	1984	1547	160	97
glgS	155	310	73	32	73	285	39	17
yqiI	39	12	29	6	32	23	8	6
yqiH	17	17	16	11	29	10	15	9
ybhD	12	29	22	17	18	20	12	7
slyX	1209	2820	268	149	749	1602	83	71
argR	3836	2675	918	264	3126	2319	306	204
mdh	36568	90968	6103	5217	36712	83035	3410	3530
ybhJ	60	68	83	73	78	62	40	60
rplM	75421	71616	20113	8529	94320	56013	10652	5887
rpsI	71785	59582	19543	8805	83648	49612	10796	5818
fryC	7	23	22	23	5	19	10	13
ybiU	307	209	150	85	232	223	49	39
degS	1080	1036	449	219	853	979	136	129
degQ	2574	2977	582	309	1691	2868	210	233
yhcB	3949	4834	1112	473	3164	3896	360	326
yhcM	824	1335	364	215	682	1093	125	136
dxs	4636	3638	1844	820	4768	3903	895	591
mutT	344	402	101	33	285	351	28	16
yacG	1075	1078	174	78	845	876	72	55
yjcO	489	498	223	117	346	355	78	76
ispA	2271	1272	1171	442	2569	1471	457	371
ftsQ	842	835	977	390	814	741	426	288
ftsA	3610	3094	1996	857	3370	3280	864	648
murC	4743	3546	1540	606	4870	3643	742	416
ddlB	1998	1467	1048	426	2115	1368	530	270
secM	2334	1721	925	338	2159	1688	436	260
secA	20018	10826	4981	1639	22687	15263	2417	1343
ftsZ	12418	12818	3814	1500	11469	15015	1585	995
lpxC	14234	18424	7384	4278	13184	16063	3228	3219
yoaF	468	699	73	49	2	474	1	38
thiI	5996	3361	1429	451	6456	4034	648	332
ypdF	26	39	53	40	17	54	17	30
nusB	3274	3138	1749	473	3913	3520	672	381
thiL	1170	503	673	151	1102	941	250	157
rmuC	213	197	178	74	222	158	112	57
pgpA	641	304	455	168	580	405	203	131
yajO	622	1102	239	128	637	1012	116	102
yoaI	5	14	4	3	0	10	0	3
metF	63	1043	71	114	77	1000	20	95
yijF	7	5	11	11	9	3	15	5
yijE	81	91	76	32	88	85	38	23
ppdA	16	18	21	10	21	12	7	3
ppdB	11	16	39	24	17	15	9	21
ypdA	278	296	243	148	281	290	119	143
insH-11	0	0	0	0	0	0	0	0
recC	1390	1515	1444	649	1414	1633	578	405
