,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
uspG,0.273784256268748,0.334795495317846,0.272053483356276,0.334137010724931,0.273784256268748,0.334795495317846,0.86740952330579
ybdR,0.523016258799588,0.256902205653586,0.515495037221807,0.319150241274933,0.515495037221807,0.319150241274933,0.858700184388228
ahpC,0.108084187289691,0.608561615421024,0.106266354333718,0.66851680270143,0.106266354333718,0.66851680270143,0.963531731370272
ahpF,0.0387430662151003,0.843642480970461,0.0387430651855806,0.865308008541101,0.0387430651855806,0.865308008541101,0.97966543357693
slyA,-0.512675777028594,0.116484754797308,-0.515095124314964,0.120325822990454,-0.515095124314964,0.120325822990454,0.667545310333654
ydhI,-0.819933049377963,0.0523631760756631,-0.82084532078719,0.0256432693142394,-0.819933049377963,0.0523631760756631,0.484147286339437
anmK,0.165706845428976,0.519151752569304,0.1657068446792,0.547867911584392,0.1657068446792,0.547867911584392,0.941609334108689
slyB,0.382649264387852,0.102461921099303,0.385684214483111,0.129348448504042,0.385684214483111,0.129348448504042,0.68754456724465
sodC,2.08867597234169,3.81603254354299e-06,2.0811106330197,4.08893294946627e-07,2.08867597234169,3.81603254354299e-06,0.00140880983266619
ydhF,0.155231410622058,0.603050892563002,0.154953990112003,0.555854460183057,0.155231410622058,0.603050892563002,0.95105150508678
ydhJ,-0.0645687757095166,0.832133432028433,-0.0626929504406819,0.815257714837901,-0.0645687757095166,0.832133432028433,0.976768827611739
ydhK,-0.290579682632518,0.373963974664113,-0.295891021897791,0.406556406727302,-0.295891021897791,0.406556406727302,0.906372956240829
ydhL,0.767750929694451,0.317231582478108,0.780224471943178,0.267150385275267,0.767750929694451,0.317231582478108,0.858700184388228
nemR,-0.715687190242362,0.115274733264279,-0.733723947701891,0.131878777036801,-0.733723947701891,0.131878777036801,0.694629978659466
envZ,-0.00621432291023316,0.978487715477174,-0.00621432300425662,0.968327133036335,-0.00621432291023316,0.978487715477174,0.997318200002019
pgaA,-0.817341754295233,0.216229988161616,-0.81972874203914,0.268063686091054,-0.81972874203914,0.268063686091054,0.842948432108624
ycdT,-1.38664670855888,0.0296771310855979,-1.38128836299191,0.0497188546793962,-1.38128836299191,0.0497188546793962,0.474372789199213
uxuR,0.141724807885109,0.607026441609692,0.144069203201411,0.618738793679855,0.144069203201411,0.618738793679855,0.951111197043871
ycdU,-0.700105509505921,0.695466472859802,-0.704309722023353,0.653395050992581,-0.700105509505921,0.695466472859802,0.964458067114327
rhsB,-1.11307515590649,0.294344109035946,-1.19250519204275,0.297367251162768,-1.19250519204275,0.297367251162768,0.846494482515682
ghrA,0.0526903480730785,0.842481002286782,0.0508885446799834,0.843637797886118,0.0508885446799834,0.843637797886118,0.977736960035312
ycdX,0.746937403888359,0.00374601772589063,0.746937396217058,0.00574743915610527,0.746937396217058,0.00574743915610527,0.182346487601121
ycdY,0.120189599980726,0.634701002608588,0.120189598281338,0.649261582385143,0.120189598281338,0.649261582385143,0.95918408581517
yqiA,-0.116320197072656,0.670293413702398,-0.113801686349848,0.677188809318036,-0.113801686349848,0.677188809318036,0.963531731370272
yadC,-0.0650941897267723,0.937346386791799,-0.0859914587818853,0.899825077725292,-0.0650941897267723,0.937346386791799,0.990764611416722
yadK,-0.326700696950795,0.761206720603893,-0.362932592930084,0.723781019681578,-0.326700696950795,0.761206720603893,0.971050865519464
panC,0.376542145850634,0.0987054935372351,0.375672294726205,0.141307990030772,0.375672294726205,0.141307990030772,0.71552586971941
panB,-0.0261614671714874,0.913249705694439,-0.0271624691035928,0.908851463108513,-0.0261614671714874,0.913249705694439,0.985864166405394
htrE,0.097441953214858,0.824579832213597,0.099443957380295,0.928826522332788,0.099443957380295,0.928826522332788,0.988732887496182
ecpD,-2.6142807128131,0.176220574298847,-2.66893535315358,0.159822061390793,-2.6142807128131,0.176220574298847,0.7735940544156
yadL,0.484422021770684,0.469183933583137,0.484963367150254,0.49432708051571,0.484963367150254,0.49432708051571,0.92981115052075
yadM,-0.473609871694197,0.627817382476792,-0.506096853633207,0.573752271705718,-0.473609871694197,0.627817382476792,0.952539925361941
