gene	jh46	jh47	jh63	jh64
lacZ	300	180	103	110
lacI	226	139	80	82
lacA	22	7	6	7
lacY	27	30	18	19
mhpB	53	30	20	26
mhpC	20	11	8	9
mhpR	72	135	52	81
mhpA	36	34	9	10
rfaI	466	170	180	105
rfaJ	425	118	171	88
ulaD	45	19	11	10
eutA	37	36	11	27
ulaC	32	16	8	6
dmsC	98	71	56	46
ycaC	49	56	12	41
ycaD	458	247	148	202
ycaM	75	46	30	33
ycaN	81	82	50	71
ycaK	55	22	29	26
pflA	635	154	246	141
pflB	14985	1812	7134	1596
focA	3327	105	1341	115
ycaO	1654	362	872	324
ulaE	98	61	27	40
rfaL	966	82	273	89
kdpE	136	100	49	57
potC	538	183	297	160
potB	514	171	305	136
ybfK	4	1	0	0
cobB	632	191	169	155
ycfZ	17	10	8	5
ymfA	24	9	16	9
potD	2144	906	883	623
lolC	935	306	322	253
lolD	664	247	249	166
lolE	1153	374	395	267
nagK	708	273	250	195
yjeF	433	231	163	172
frwC	28	4	7	8
yjjJ	228	167	101	120
ptsA	120	27	81	18
yhdH	263	133	104	74
nanM	46	48	16	37
rhaM	19	7	10	11
efeB	251	232	146	134
yiiQ	162	49	52	41
ybgF	4040	1498	1738	1053
deoB	2059	744	1071	524
tolB	6621	3314	2500	2254
ykfF	12	9	4	11
tolR	569	237	181	179
tolA	1554	610	605	514
yiiM	188	78	50	64
ribB	1684	666	379	335
cpxR	752	330	273	206
potE	55	41	16	29
fieF	805	371	285	257
pfkA	1613	673	598	492
sbp	48	39	24	20
zupT	340	195	116	144
yjeE	203	109	50	87
yjjV	236	146	100	112
citX	16	7	7	7
citF	40	27	16	13
citT	45	24	17	23
citG	30	15	23	38
rnk	317	118	153	88
rna	15	16	8	14
uspG	316	175	107	100
ybdR	80	49	20	37
ahpC	8219	4004	3339	2750
ahpF	1945	1145	838	890
slyA	364	182	102	106
ydhI	49	37	14	29
anmK	267	205	110	174
slyB	3348	1105	1523	1005
sodC	51	41	37	27
ydhF	226	72	106	77
ydhJ	178	111	47	93
ydhK	211	164	106	148
ydhL	7	12	4	6
nemR	71	53	26	36
envZ	928	318	355	276
pgaA	87	41	35	37
ycdT	73	47	22	39
insF-4	0	0	0	0
insE-4	0	0	0	0
uxuR	263	141	85	108
ycdU	24	14	5	6
rhsB	34	11	11	7
ghrA	504	355	176	190
ycdX	671	368	233	217
ycdY	580	337	213	193
yqiA	575	225	218	197
yadC	45	25	22	17
yadK	8	9	4	4
panC	1756	967	721	617
panB	1275	604	563	400
htrE	37	29	23	14
ecpD	8	3	0	4
yadL	38	13	7	12
yadM	11	9	3	2
yadN	67	80	20	33
folK	228	65	131	65
yeiR	234	185	77	164
yeiQ	123	402	80	225
yniA	109	104	84	78
mdtE	15	14	17	7
hdeD	59	32	19	13
yedJ	180	126	61	87
dcm	527	264	173	168
hda	1171	268	392	268
yfgD	931	345	285	223
yedI	189	154	75	107
yodC	38	35	15	16
vsr	121	56	46	32
yedA	46	55	18	27
hyfJ	31	6	14	4
yodD	6	20	6	7
yedQ	172	90	54	69
yedP	24	30	13	23
ygbM	56	30	31	23
ygbL	60	27	38	32
ygbI	355	152	166	123
pphB	28	15	12	14
ygbK	125	49	41	55
ygbJ	87	33	52	18
fhlA	216	131	134	165
hypE	331	124	145	97
mutS	2823	978	1183	690
ygbA	25	27	15	19
cspF	29	15	11	8
rimJ	317	186	124	129
essQ	1	1	0	0
cspB	16	16	13	18
rrrQ	12	5	7	16
ydfR	4	2	5	0
rzpQ	5	6	1	2
cspD	600	706	316	445
ydfU	8	11	3	9
rem	10	11	3	8
menC	776	497	415	397
menE	453	244	247	258
arnC	13	28	10	20
chbG	49	62	28	25
arnD	34	38	12	27
arnA	73	138	56	131
arnE	7	5	2	11
arnT	74	95	61	79
pmrD	99	120	52	115
chbF	62	35	18	25
rpsS	15168	5938	8544	3877
cedA	43	31	16	22
rpmC	10974	4404	6269	2709
rplP	22590	9054	12495	5165
rpsC	39310	15730	23524	9791
katE	110	127	26	108
rplE	33660	15391	20270	9301
rplX	18374	8245	10320	5275
rplN	22801	10375	13461	7179
rpsQ	16584	6779	9428	4779
yehI	272	189	31	62
yehL	26	24	13	16
yehK	7	4	2	7
yehP	30	16	15	8
yehM	101	74	37	61
yehR	34	31	17	28
elfG	39	22	24	29
yehT	354	238	209	262
yehS	272	203	84	146
fimH	88	77	32	42
ycbU	23	7	6	8
coaD	320	105	112	54
yfeS	55	43	7	21
yfeK	38	38	9	19
ydcO	78	45	48	69
ycbV	15	11	6	7
cysU	59	387	35	190
cysW	80	427	51	234
ucpA	590	579	383	431
cysP	104	842	48	423
ydcK	125	76	59	56
ssuA	25	19	9	8
ydcH	42	44	32	17
rimL	49	34	30	29
insQ	569	397	217	291
tehB	195	77	79	41
ssuE	9	7	2	22
rsxB	251	154	95	109
rsxC	852	457	436	376
tnaB	72	50	28	27
elfA	69	36	20	23
mutL	1078	462	524	363
malX	138	83	107	85
malY	180	106	84	79
add	378	238	276	194
elfD	8	6	1	3
blr	127	84	51	60
cnu	158	94	65	90
ydgK	304	186	75	123
rsxA	290	204	93	136
agaR	615	339	275	295
kbaZ	73	39	51	32
agaV	9	9	8	6
agaS	11	9	7	11
kbaY	8	6	7	5
agaB	5	1	3	3
agaC	10	10	7	6
agaD	16	16	7	10
yieF	302	136	67	72
sgrR	309	194	108	118
thiB	355	103	126	87
thiP	382	89	155	100
thiQ	128	33	58	45
yabI	207	120	78	74
araC	3990	4405	2363	5583
araB	10	8	14	14
araA	35	18	24	21
diaA	530	193	223	149
yraP	496	206	191	143
tisB	79	87	35	49
emrD	779	253	283	300
ivbL	580	950	316	697
kefB	304	156	105	107
sgrT	171	85	55	70
ilvB	348	2946	180	1290
yjeN	6	2	8	1
yheV	90	35	39	14
yqcE	30	18	15	15
yjeM	84	41	43	48
yheS	1215	496	560	328
yjeP	986	293	424	226
yddW	328	148	103	92
gltF	96	24	60	21
yjeO	26	13	6	18
grxC	1109	376	394	217
yheU	95	43	37	34
trmL	211	52	76	51
cysE	489	413	200	255
gpsA	2674	863	1082	615
yheT	403	163	204	134
ygaZ	929	270	349	220
lldP	409	219	117	94
eutG	14	16	8	17
lldD	438	174	143	64
yhbV	95	41	60	29
yihV	42	18	20	21
ytfE	47	23	24	18
yihU	20	7	5	7
deoC	339	69	265	60
cysD	256	484	136	298
iap	281	143	106	99
cysC	102	152	51	93
cysN	399	699	194	412
casE	61	46	29	28
casD	65	45	25	22
ygbF	38	22	7	12
ygbT	127	86	58	50
casC	64	39	36	23
casB	29	17	5	8
bcsB	281	142	95	60
ytfF	100	68	41	68
yiiE	3	1	1	1
yiiD	506	239	156	172
cmk	2381	1089	917	755
fruB	230	302	183	219
php	19	10	5	8
dgkA	227	70	71	52
hofO	12	7	4	4
yecN	220	74	62	73
cmoA	326	100	135	110
ruvC	893	379	420	299
yebC	1731	749	795	430
yobI	0	1	0	0
yebB	21	29	11	19
yecD	155	120	61	63
yecE	126	73	36	62
nudB	918	429	513	326
aspS	3513	1766	1747	1176
gcvP	5911	2446	1692	1444
gcvH	2004	558	555	335
bglA	2146	311	825	243
ygfF	183	141	53	96
yqfA	402	60	203	43
yqfB	402	62	139	42
ygfY	560	137	219	79
ygfZ	2811	537	1091	432
gcvT	3138	847	785	509
visC	1196	202	498	154
cpxA	955	443	335	288
yicN	64	19	23	11
yihX	271	142	118	136
yihW	331	125	180	82
dtd	306	128	112	87
yihY	329	132	119	117
yihT	34	20	17	18
yihS	38	30	19	28
cspC	5243	2670	3096	1696
yobF	2852	1458	1609	910
yebN	46	20	15	21
rlmA	341	157	126	112
manZ	816	601	482	302
yobD	53	38	28	20
manX	661	469	468	245
manY	715	465	447	231
adrB	56	27	29	26
yoaE	427	347	117	153
yfjS	19	8	8	7
nagC	896	419	397	391
xapA	46	39	19	40
xapB	57	56	23	44
yeiH	175	219	57	159
xapR	79	136	28	88
yiaM	5	2	2	6
yeiP	793	548	302	407
rdgB	613	194	228	143
yjbG	12	6	3	5
yeiE	214	214	94	166
tabA	201	92	68	52
yjgF	1249	620	605	404
mgtA	6229	5324	2768	3937
pyrB	158	6	35	10
gltX	4232	2946	1732	2374
yjeJ	29	15	10	20
pyrL	339	42	107	47
yjgJ	90	46	35	28
yjgI	33	11	14	8
ychE	171	82	50	55
oppA	2346	1467	862	1258
oppB	480	166	180	153
oppC	701	216	296	206
hns	6722	4135	3226	2943
tdk	312	94	119	81
adhE	5690	2266	1960	1477
kptA	31	29	18	13
oppD	999	327	432	282
oppF	1006	303	445	331
kdsC	601	271	175	207
emrB	1002	362	413	224
dsdA	598	1199	121	352
ygaH	364	107	141	91
mprA	1840	471	557	379
ampH	540	245	231	210
yaiV	4	2	2	3
yaiW	299	166	131	148
sbmA	239	135	70	105
lpxK	784	279	344	191
msbA	2113	831	840	487
iraP	134	100	57	82
ddlA	1228	539	483	359
rpsA	63327	24709	33613	17814
phoA	167	131	85	120
cyoB	24420	7189	12734	5257
cyoC	8046	2387	4353	1882
cyoD	4277	1246	2129	891
cyoE	11185	3418	5789	2471
ycaL	50	22	28	21
aroA	1106	354	333	229
ycfT	56	35	11	20
mfd	2696	633	831	512
ycfS	108	23	33	22
bhsA	83	38	38	60
ycfQ	333	169	96	114
ycfJ	128	102	44	78
ndh	5299	1457	2057	1071
ycfP	701	302	245	229
nagZ	730	285	278	189
thiK	420	204	148	163
yjeH	169	128	91	107
glpB	533	459	493	334
ampC	141	90	50	61
ybgJ	471	254	182	150
ybgI	607	310	217	190
dtpD	111	27	58	28
phr	87	53	42	54
abrB	58	35	59	31
nei	201	62	70	37
ybgL	388	182	125	119
ybgK	571	305	163	197
rhaA	26	14	5	16
rhaD	20	13	17	18
ybgP	23	7	4	7
ybgO	15	8	2	12
rhaT	41	25	11	17
rhaR	26	14	17	8
rhaS	69	43	15	35
rhaB	63	62	33	47
rpoB	30921	15294	16282	9743
djlB	21	17	7	5
ybeR	7	4	8	4
holA	987	426	462	358
nadD	358	135	134	119
cobC	196	75	111	87
ybeB	607	207	223	185
ybeQ	85	46	28	33
ybeL	146	98	76	66
leuS	6494	2462	2855	1864
lptE	1505	659	671	554
ydhO	230	74	108	81
grxD	1443	899	597	573
ydhP	92	79	31	47
sodB	3589	2128	1900	1524
gloA	522	178	210	160
nemA	265	194	111	144
lhr	283	109	99	66
rnt	311	118	139	90
purR	951	545	393	357
ynhF	167	200	85	126
infB	10358	5670	7065	3744
csgE	4	10	3	5
csgF	13	21	6	13
csgG	38	57	23	49
ycdZ	436	155	173	115
csgC	318	339	86	243
csgA	71	73	23	33
csgB	15	5	11	5
csgD	27	22	8	20
ymdB	538	492	185	313
ymdA	650	595	194	325
chbA	18	7	5	7
cpxP	331	114	107	101
sgcX	19	10	8	10
purM	1097	227	241	208
eco	323	312	127	207
uraA	710	185	345	127
upp	2187	691	1023	545
yfgF	92	76	26	40
yfgG	226	110	68	88
ppk	1787	694	622	524
ppx	1611	378	516	340
yfgH	23	19	9	12
yfgI	43	33	11	12
rlmB	613	286	268	181
cspI	4	3	2	2
ynfN	51	43	24	38
srlA	45	51	75	56
srlE	96	81	121	102
srlB	176	128	122	179
srlD	273	156	186	148
gutM	29	15	22	18
srlR	286	120	186	85
pinQ	3	0	1	0
ydfK	1	0	0	0
stfQ	13	7	10	9
tfaQ	0	0	0	0
ynfO	0	0	2	0
gnsB	253	235	112	162
ydfO	4	1	4	0
ada	131	190	70	122
pyrI	82	12	24	9
alkB	34	51	15	55
yjgH	15	11	4	5
argT	123	416	60	254
ubiX	183	209	40	120
hisP	105	196	46	131
nuoA	1530	2221	895	1505
hisQ	96	227	60	173
hisJ	374	625	180	474
yfcG	27	26	8	48
folX	433	331	132	268
yfcH	649	796	266	580
lrhA	638	1418	310	936
yjeI	556	432	235	219
nuoC	6049	6569	3331	4189
rpsN	15846	7366	10124	4327
rpsH	20938	9643	12755	5713
rplF	27041	12219	17096	7382
rplR	18425	8133	11694	5137
rpsE	24221	11008	14087	6400
nuoB	2250	3117	1261	2001
rplO	23217	10877	14092	6252
secY	64180	29231	39461	18273
rpmJ	5142	2363	3332	1582
yfjR	26	18	16	9
fcl	18	10	5	9
gmd	24	28	12	32
wcaF	15	16	6	11
wcaE	6	18	2	16
cpsG	27	37	17	37
cpsB	69	42	15	29
wcaI	16	24	11	28
gmm	7	16	3	14
ecnA	126	20	48	28
wcaD	9	20	4	20
wcaC	20	30	2	20
ubiB	1121	275	406	223
prr	105	56	30	37
ydcV	29	9	8	12
yjaA	13	4	2	8
ydcS	38	41	27	26
ydcR	207	179	104	120
ydcU	26	12	15	18
ydcT	24	18	9	11
yncJ	9	10	6	3
ydcP	826	433	372	286
hicB	58	48	20	33
hicA	42	35	15	20
slp	35	16	7	14
ycjT	55	26	26	26
mliC	145	158	51	91
pdxH	423	179	167	114
ycjS	25	24	7	18
nth	188	96	97	75
rsxE	256	100	140	86
rsxG	306	155	155	129
rsxD	531	305	294	240
tyrS	3312	1795	1248	1219
pdxY	540	196	189	115
gstA	185	164	55	98
dtpA	2444	1550	1266	884
garK	105	94	46	77
frlA	61	60	14	39
yhaC	15	8	2	12
yhaB	6	1	2	2
garD	79	63	30	35
garP	17	19	19	12
garL	20	22	4	9
garR	59	40	20	17
yhaV	135	84	49	56
prlF	141	117	54	71
cysG	541	240	246	172
dnaK	48228	6831	15267	7810
dnaJ	4683	1006	1862	1084
yaaW	20	14	13	5
yaaI	4	3	1	3
hokC	15	8	18	8
yhbT	566	261	289	136
insL-1	0	0	0	0
mokC	21	9	23	12
yphD	56	38	24	34
yphE	95	69	45	39
nhaA	845	334	290	224
nhaR	177	68	62	54
yphH	124	105	43	59
glyA	8466	4337	3036	2842
hmp	447	228	189	137
glnB	1461	382	522	299
iscX	862	444	316	261
fdx	1470	795	559	483
hflC	3417	1152	1400	872
frlC	57	45	18	33
rlmN	2067	1178	1032	886
ndk	2237	1434	1171	909
pbpC	435	229	186	180
yfhM	1877	1051	833	798
sseA	1095	530	467	351
sseB	1268	610	522	388
pepB	2986	1824	1309	1063
ugpE	25	16	7	6
rfaC	786	123	298	117
yegJ	8	13	1	14
rfaD	2662	606	978	487
yibB	821	75	126	71
kbl	2235	526	952	462
ygcU	59	30	37	38
yibD	20	3	11	11
mltC	367	194	147	117
envC	1381	435	503	408
gpmM	1787	550	670	383
hflK	4395	1446	1844	1112
nupG	290	93	281	77
nupC	1911	904	1034	738
def	947	387	390	290
truD	2765	846	1020	584
surE	1689	574	635	432
ispD	1615	461	629	366
ispF	1193	310	404	205
rpoS	4074	3729	1809	2809
ygbN	84	60	43	56
pcm	1028	377	407	262
nlpD	2659	1623	1199	1437
yegL	50	49	23	37
ygbE	182	109	53	86
ftsB	901	263	305	209
hflX	3398	1421	1188	1031
insH-6	11	2	4	1
accC	7767	2837	4380	2379
eutN	0	2	1	0
hfq	3153	1347	1403	995
eutE	26	26	15	18
yhbU	211	11	101	9
ruvA	278	172	113	119
ruvB	375	222	115	133
znuA	435	256	238	221
yebA	535	307	243	244
znuB	132	107	41	43
znuC	172	128	56	52
yebK	296	144	214	105
zwf	2165	1126	887	667
lpxM	395	247	154	175
pykA	2121	956	1118	650
rpiA	3745	394	1370	356
serA	1545	1430	573	872
yhdT	91	27	26	23
pepP	3422	675	1517	480
yaiZ	56	26	52	22
zapA	2321	700	854	510
ygfB	1935	365	768	281
fau	232	55	104	58
ibsC	48	11	24	12
yaiY	13	8	6	8
bolA	339	215	115	146
yajG	899	378	385	328
pitA	3701	942	1741	678
psiF	21	18	2	12
cyoA	12282	4291	6445	3253
yfcD	1089	812	291	532
ycaI	67	43	32	34
ihfB	1563	1093	698	840
serC	2064	1305	580	752
yeaQ	164	182	8	123
gor	1537	455	604	378
ycaP	43	34	9	22
mgrB	194	97	50	72
yebO	463	229	174	172
kdgR	560	232	264	202
sad	228	109	59	79
htpX	2035	882	570	512
yajR	607	227	222	195
proQ	3202	1840	1429	1179
prc	3091	1608	1403	1184
yebS	126	64	45	53
msrC	539	403	228	259
yajQ	1660	585	641	358
fadA	64	206	34	74
yoaG	5	12	2	11
norR	325	168	154	125
yjjG	360	117	140	137
yfbT	451	605	174	359
tam	39	36	11	22
sgcA	24	17	9	9
yeaR	15	15	0	34
yfbS	157	187	88	132
lptG	986	406	389	298
yjgR	172	103	67	73
valS	8585	3025	3625	2098
holC	625	312	233	239
pepA	2682	1744	998	989
uxaB	68	49	32	14
purD	567	128	126	102
rraB	1005	345	420	247
yjbS	2	2	0	1
yjgN	49	53	25	26
yciB	430	225	147	306
yciA	542	226	212	278
tonB	518	283	192	407
yciI	252	216	83	179
kch	154	54	50	82
yciY	421	199	190	437
cls	665	496	232	590
yciU	286	173	124	197
phnJ	6	6	6	6
phnI	25	19	20	14
atpA	27138	7528	12380	5476
phnK	14	4	8	12
phnF	5	5	3	2
ompW	203	43	69	36
yciC	546	217	153	254
yeaO	61	60	2	29
ecnB	79	133	50	164
yhbW	213	85	79	77
yeaN	116	65	15	47
zraR	117	40	51	27
tyrB	534	338	220	162
yeaP	289	232	4	137
mukB	5910	2181	2397	1477
ycbB	422	263	165	195
yajL	372	148	147	120
panE	492	214	194	198
rdgC	620	196	192	124
mak	154	65	75	48
kdsB	1341	425	456	322
ycbJ	78	38	68	27
ycaQ	200	89	71	57
ycaR	330	94	121	69
mukF	1033	381	440	321
mukE	745	271	276	167
ycbC	115	84	45	66
smtA	796	272	266	202
tmk	356	209	152	123
holB	444	229	183	142
pabC	193	114	62	76
yceG	352	206	117	128
fhuE	76	41	38	43
hinT	651	414	213	277
ycfH	395	198	165	125
ptsG	3096	1011	2115	911
ycfL	548	358	168	212
lpoB	853	585	263	366
dusC	190	138	62	98
ydjX	50	5	29	6
argB	82	30	33	25
ydiE	20	10	12	6
yohF	14	32	12	29
ybgQ	87	59	36	51
ybgD	13	12	8	7
gltA	2237	5494	1299	2758
sdhC	758	1448	574	962
sdhD	831	1380	551	771
sdhA	5183	8997	3824	5340
sdhB	2352	3935	1621	2258
sucA	13921	9921	8487	6047
sucB	10020	6349	5675	4133
sucC	6245	4571	3777	2571
yohC	21	25	8	29
rplI	11663	6870	7820	4546
yjfZ	38	16	18	18
priB	8985	4860	5875	3075
rpsR	6314	3570	4486	2504
mrdA	1078	355	486	330
rlmH	684	261	294	166
aroH	681	457	272	288
tatE	381	193	129	125
lipA	4195	2443	1747	1630
ybeF	41	15	9	20
lipB	557	175	157	145
ybeD	997	351	277	278
dacA	2436	945	819	628
rlpA	1383	754	698	570
mrdB	824	307	405	244
rsgA	1104	530	438	342
yjiY	964	707	765	1447
ybiP	133	71	74	74
mdtG	72	41	42	35
lpxL	596	208	205	155
yceK	15	7	3	3
msyB	62	59	26	62
opgG	2099	1110	699	702
opgH	2986	1699	1367	1241
ymdC	418	225	108	132
opgC	155	45	86	52
asnA	826	75	159	90
yceA	1106	347	284	234
yceI	93	40	35	33
setB	42	64	21	59
atpB	8040	2608	3188	1770
yhjD	119	70	34	56
atpI	1708	576	598	500
bamB	6066	2286	2156	1562
der	3446	1283	1318	899
hisS	5969	2145	2285	1568
yfgM	2832	936	1031	622
guaB	7115	1603	2274	1179
guaA	10690	2548	3758	1769
yfgJ	279	106	97	75
xseA	1255	1151	414	826
sugE	89	42	40	44
mnmG	2078	1074	986	755
rodZ	2935	1305	989	907
ispG	4372	1701	1815	1208
hydN	21	16	6	8
clpX	68041	38070	32924	36891
norW	51	21	23	23
norV	70	34	31	31
hycI	197	88	62	56
ascB	153	92	64	70
ascF	152	104	68	87
lon	13777	2892	4353	2773
hycG	199	129	85	136
hycH	84	46	28	28
tig	20228	6127	10017	4490
yjfP	81	51	36	43
clpP	98559	51856	51634	42388
yhdX	21	17	11	12
pepE	170	51	82	41
ybaV	43	27	16	15
ygfQ	125	35	51	35
dnaT	208	78	57	56
fadM	14	8	4	9
yhdZ	79	53	19	32
hupB	5773	2973	2581	1860
flk	307	199	116	189
pdxB	1370	1002	442	662
usg	932	747	370	532
truA	843	974	405	723
dedA	410	414	148	290
ppiD	4217	1633	1543	1094
folC	1236	861	491	662
dedD	685	666	268	469
cvpA	353	220	94	184
purF	747	321	193	269
mscL	427	203	181	170
yejL	575	396	181	379
rsmB	840	155	354	149
trkA	881	218	349	225
rplQ	20592	10997	13082	6868
rpoA	56157	30328	34239	17698
zntR	116	57	31	53
yejK	829	635	291	442
nirB	359	75	198	50
nirD	26	4	21	6
rpsD	31417	16705	18521	9611
rpsK	20947	10823	12446	6620
rplY	7532	3814	4013	2928
dcd	752	985	313	658
asmA	708	919	330	625
yegH	434	246	153	180
wza	8	24	1	18
wzb	2	7	3	10
wzc	29	49	23	37
wcaA	9	24	2	9
wcaB	4	9	1	2
insH-8	0	0	0	0
glpX	744	190	405	141
rnc	2062	744	736	621
yegE	443	482	165	342
udk	618	447	207	338
yncL	99	84	37	56
ydcX	16	22	7	20
ydcY	565	272	212	187
ydcZ	41	25	17	21
yncA	81	72	29	43
curA	86	56	36	35
mcbR	29	28	11	20
yncD	338	143	141	94
yncE	649	331	302	277
ansP	168	76	63	33
yejM	1391	1229	540	1038
era	2673	962	1220	802
aroB	2638	1359	1169	853
acpS	503	206	169	120
rstB	553	278	194	272
tus	130	75	35	55
ydgC	33	61	14	25
rstA	524	336	192	294
ydgI	309	98	158	81
folM	107	55	45	33
pntA	1655	1459	612	800
ydgH	1285	451	542	313
tqsA	51	37	24	15
pntB	1482	1200	582	632
csiD	48	68	23	46
rpsO	8698	3174	5029	2719
truB	1241	677	822	466
yphC	87	56	46	39
yphB	70	57	30	39
yrbN	126	79	74	43
nlpI	4007	2484	2205	2151
mtr	156	108	70	99
deaD	2991	2665	2173	1604
ydiQ	12	9	5	5
hcaE	263	206	110	194
hcaR	129	241	100	146
hcaT	449	267	212	220
yphA	56	61	15	28
hcaD	88	78	35	53
hcaB	52	52	24	33
hcaC	29	28	7	9
blc	26	30	13	19
csiE	73	33	49	23
yfhR	27	20	12	20
fruK	196	259	118	186
iscU	2166	1836	836	804
iscA	1981	1821	729	830
hscB	1027	812	374	359
hscA	5778	3464	2436	2112
paoB	31	23	9	11
trmJ	2778	839	1060	685
iscR	1072	1840	340	637
iscS	5712	5872	2341	2589
aidB	79	41	50	48
yqhG	29	12	8	15
yjgL	93	27	29	28
yjhI	23	9	10	8
nuoL	3724	2911	2358	1994
fruA	444	864	284	496
paoC	112	69	58	55
bcp	1287	863	418	800
yiaN	11	9	6	8
yjfN	15	5	14	3
dkgA	188	84	67	51
xylR	113	57	79	45
bax	696	656	247	426
malS	120	44	83	37
avtA	859	500	325	316
ysaA	78	39	38	22
yiaJ	368	161	105	119
yiaK	41	29	8	11
yiaL	19	12	6	4
gadW	53	24	20	25
yohK	228	78	55	60
yraI	10	3	4	11
gyrB	5562	1782	2346	1425
sgcE	20	17	16	15
yjfJ	13	4	1	7
kduI	126	105	72	72
yqeF	529	420	386	296
fusA	116203	54462	59554	31094
lysR	145	50	62	51
ygeA	3931	883	1775	507
araE	41156	10053	24714	6994
kduD	201	142	118	80
galR	477	374	220	240
lysA	100	162	40	100
yjgB	80	54	22	49
nuoF	4168	4154	2403	2633
gutQ	521	220	255	164
dnaN	1222	748	658	568
yijP	1457	701	639	457
spy	72	84	57	74
gldA	216	59	120	49
nuoE	1737	1830	905	1148
rnr	1893	837	827	552
deoA	453	144	207	110
gdhA	558	667	230	431
ynjI	41	17	18	14
topB	1326	541	615	370
selD	1351	663	490	371
ynjE	171	54	114	26
ynjF	71	63	36	30
nudG	63	50	20	25
ynjH	144	87	25	65
ydjA	380	300	166	162
sppA	794	390	292	254
leuE	101	89	7	50
arsC	37	21	18	30
dmlR	82	71	6	60
dmlA	49	48	24	32
metA	63	165	22	107
yeaV	51	24	16	25
yeaW	37	13	10	13
yjcD	478	93	115	68
yjjI	114	16	83	17
aceB	920	1559	299	976
narH	210	84	410	145
narJ	84	18	151	31
pdxJ	1198	486	491	309
insD-7	1	0	0	0
insC-6	0	0	0	0
ychN	390	160	136	110
ychO	115	56	28	45
chaB	17	12	2	3
chaC	92	83	34	61
narK	1368	84	1650	210
narG	1931	94	3618	185
narL	391	212	199	125
narX	709	287	275	241
adiC	62	28	24	21
eptA	73	41	34	33
pmrR	26	14	8	6
proP	1460	1016	388	811
basR	104	48	43	43
basS	111	64	45	47
aceA	902	1251	326	784
yjdN	13	11	3	7
cdh	223	82	65	69
yjdA	711	505	237	438
yiaU	88	25	29	20
yejH	210	150	89	114
ribE	1400	367	555	315
ribD	1195	459	430	309
gtrB	1162	399	324	290
yajC	2161	835	822	530
tgt	2377	989	1240	652
secF	2490	1000	1280	637
secD	5316	2160	2588	1521
tsx	3576	627	2731	511
yajD	143	84	52	41
nrdR	611	322	204	154
yajI	29	16	11	32
fabH	4469	1037	1689	778
plsX	5410	2046	2894	1623
fabG	9338	2723	4126	1969
fabD	5820	1318	2261	1041
yceF	239	147	84	90
rpmF	8677	3681	4934	3042
yceD	11639	5666	6255	3970
fabF	13627	3760	5030	2659
acpP	20851	5538	7226	4303
yaiE	308	198	147	172
arpA	25	9	11	2
gltS	237	138	94	94
ulaG	62	20	25	10
ulaR	135	79	49	43
ulaB	30	16	13	17
ulaA	30	20	27	12
kdpA	456	762	92	515
kdpB	552	889	112	427
ulaF	42	21	23	20
perR	6	4	6	5
ykfA	45	30	26	39
yafZ	12	8	4	15
kdpC	153	226	46	128
kdpD	619	769	222	474
yafY	2	2	0	0
ykfB	6	1	2	1
speF	51	7	20	12
yafX	7	3	3	4
parC	2164	866	940	609
iclR	598	214	222	193
yfdC	47	77	15	59
clpS	322	324	142	195
mdtH	52	51	19	27
clpA	3587	3604	1415	2327
ybjX	2514	1606	901	1428
ybjD	353	144	136	99
macB	424	167	125	133
macA	182	95	53	53
yceO	3	2	2	0
yceJ	35	24	13	10
bssS	272	160	113	102
solA	566	409	270	292
aat	276	160	103	110
infA	2651	857	724	646
grxB	347	244	146	174
yceB	217	128	57	86
yaiA	67	55	30	29
ygaD	620	206	229	120
metH	1105	1275	513	842
ubiC	274	115	97	69
mltB	617	253	220	218
ytjB	200	69	61	43
damX	3139	1591	1449	1167
livF	70	38	28	23
yohJ	126	30	23	23
aroM	125	77	61	26
iadA	877	437	380	246
yihD	373	172	170	121
yjiA	361	171	163	140
hdeB	21	14	7	6
orn	406	119	134	98
luxS	3379	1573	1152	1091
glpQ	2297	1391	1814	1246
glpT	3598	2037	3280	1856
glpA	1168	563	1391	502
nrdA	2487	1557	799	1019
nrdB	1175	767	347	515
yfaE	212	135	62	97
inaA	68	129	29	99
glgA	752	423	261	315
yaiI	122	66	45	51
glpC	319	333	324	235
gshA	4059	1785	1629	1358
yqaA	780	306	285	191
ravA	397	125	197	100
rdoA	1113	322	390	288
hdeA	102	45	47	35
aroK	1863	904	637	631
ubiF	738	334	223	236
miaB	2832	1370	1234	962
nuoH	2369	2081	1433	1301
nuoG	9463	8794	5519	5616
ybeX	2421	773	749	585
lnt	1846	610	723	567
ybeZ	2415	567	781	520
ybeY	1031	246	331	220
aroL	256	117	77	111
yfbR	105	106	40	72
paoD	27	13	11	16
yrdD	468	334	185	253
rimN	501	269	194	236
smf	358	250	208	150
ibsB	10	20	11	17
yrdA	596	231	182	134
frlD	39	30	13	23
aroE	504	257	231	198
yrdB	162	84	90	61
yegI	52	76	27	67
yagV	48	26	20	15
alkA	224	183	45	63
yegD	81	131	47	109
fmt	1449	554	626	471
ibsA	19	24	14	27
yegK	7	13	2	13
ykgJ	96	59	17	17
yagU	274	355	122	299
adrA	42	25	28	21
paoA	18	1	8	4
ydcD	19	13	10	5
yncH	0	2	0	0
yncG	12	15	7	15
yddH	27	27	20	24
pptA	50	22	15	13
ydcC	2	2	2	2
yddE	155	112	55	75
nhoA	36	27	9	16
