gene	jh46	jh47	jh63	jh64
shoB	198	118	76	110
frwD	23	15	10	2
yfjZ	3	0	1	4
mqsA	116	85	38	72
rcsD	1465	1561	499	1034
mqsR	137	90	36	62
apbE	149	254	69	172
dinD	40	28	23	20
ygiZ	6	4	0	0
ompC	56450	20093	25100	19654
mdaB	501	139	160	113
wbbJ	710	397	283	300
wbbK	857	537	370	355
rfc	901	490	426	363
wbbI	1221	721	506	510
gnd	10352	7818	4362	5901
ugd	131	119	55	92
insH-7	0	0	0	0
yjhP	72	44	30	10
ypjJ	5	0	0	1
qseC	84	35	32	36
rfbX	1045	655	435	485
glf	1252	698	528	459
yfiL	15	8	5	4
aroF	513	319	216	173
pheL	397	410	194	360
raiA	2357	1086	2503	741
tyrA	687	358	270	201
pheA	719	759	297	407
yfiH	812	309	383	205
bamD	3863	1394	1461	956
rluD	1224	494	523	376
yghQ	75	37	16	23
yghR	13	14	8	5
yefM	112	88	36	91
yoeB	67	80	33	65
glcD	47	41	13	16
glcC	48	158	45	110
glcF	91	55	32	37
glcE	116	95	35	54
yeeE	315	1372	194	707
yeeD	180	596	80	273
sbcB	300	340	155	235
dacD	90	89	32	55
yeeZ	453	521	197	337
yeeY	112	116	53	149
yoeI	79	56	40	51
plaP	2060	1639	1228	1307
xseB	408	174	155	134
rph	879	280	320	244
murR	42	30	18	17
nsrR	197	115	107	82
dcp	707	303	279	225
ydfG	1113	505	417	335
ydfH	291	177	84	111
ydfZ	66	14	25	3
trpS	2407	988	918	723
ydeH	86	60	24	48
ydeI	11	9	3	5
ydeJ	10	10	3	7
rpe	851	327	333	235
dam	833	320	369	293
ydfI	30	32	20	26
pyrE	467	74	116	49
glyS	8887	3756	4200	2554
ybbN	2159	474	635	387
yiaG	52	73	34	44
cspA	1100	915	976	999
ghrB	1070	407	348	250
ybbM	77	50	40	33
insJ	31	21	6	13
insK	54	27	27	21
hokA	8	2	2	3
tesA	225	153	59	84
ybbO	340	180	87	140
ppsA	5848	2773	1838	1847
fadK	37	28	10	16
ytfB	417	286	140	163
ydiT	3	4	1	5
ydiS	25	36	16	25
ompN	43	29	17	23
ydiR	257	210	126	215
insH-5	89	31	33	29
stfR	55	40	17	26
tfaR	1	0	0	0
pinR	2	0	0	2
ynaE	0	0	0	1
uspF	244	184	111	120
ebgA	141	83	87	84
ebgC	5	5	10	4
ygjH	20	2	10	8
ebgR	174	69	69	58
aer	1570	431	555	494
patA	72	82	45	72
mntH	217	185	65	183
yqjI	131	73	55	58
mug	224	202	90	120
nrfG	15	2	5	9
pnp	9031	4691	5294	3092
nrfF	9	7	9	3
yiiF	15	12	7	3
murG	821	319	414	221
ftsW	1001	377	450	238
fdhE	2274	950	1118	700
rsmH	1250	740	547	458
mraZ	812	423	379	343
ftsI	2301	1350	1356	1118
ftsL	450	251	261	198
murF	1468	480	690	382
murE	1915	706	873	538
murD	1279	512	628	322
mraY	1091	379	478	294
yjeV	1	4	1	2
queG	263	83	94	68
yoaA	439	163	164	160
yeaZ	630	197	256	146
yfeO	42	53	15	46
yeaY	458	158	195	130
gcvA	404	225	147	213
ygdI	81	109	35	69
fadD	385	343	195	199
csdE	458	189	195	142
csdL	825	282	309	223
mltA	1149	732	391	462
coaA	531	160	150	113
pabB	223	125	71	77
tatA	1017	302	306	204
tufB	9864	2953	4285	2261
secE	2482	1192	1051	730
yoaH	92	50	28	22
fliM	3152	1871	1153	1226
fliN	1378	571	542	348
fliK	1222	349	595	399
fliL	2059	1653	803	1122
fliQ	251	92	97	80
yoaC	46	44	28	27
fliO	1161	468	600	350
fliP	997	383	366	283
rcsA	157	30	37	33
yoaB	414	260	153	115
yeaG	103	164	32	156
yedE	448	233	575	271
yedF	52	30	72	30
trmH	848	246	362	188
yjbR	130	79	42	61
yjbQ	194	123	62	88
fliZ	1260	937	367	603
fliA	4302	3838	1496	2231
fliC	52400	29116	13647	19887
fliD	3854	2675	1042	1830
fliS	943	781	259	485
fliT	619	559	162	339
amyA	573	502	171	319
yedD	472	218	209	170
yhbO	9	13	5	12
yeaH	69	53	26	61
scpB	43	9	15	7
scpC	76	28	19	26
ygfI	39	22	26	22
yggE	1400	290	398	208
argP	515	280	239	161
scpA	72	34	36	20
argK	39	13	12	14
argO	193	59	55	44
mscS	3029	1051	654	669
yeaE	107	95	52	57
insL-3	0	0	0	0
yjeT	32	7	9	5
arsB	79	32	29	39
yibA	98	19	20	19
yjdL	67	22	20	27
rhtC	128	89	38	63
recQ	844	283	311	263
pldA	634	173	194	119
yigI	153	153	37	100
frsA	512	189	231	155
gpt	1395	617	508	436
ydaC	6	3	1	0
ralR	0	1	1	2
intR	148	54	59	37
ydaQ	1	0	1	0
dbpA	139	80	88	46
ttcA	659	360	341	225
ydaN	248	123	77	79
smrA	180	113	53	68
yafN	79	62	30	43
aldB	33	22	6	20
ybiT	1393	695	680	475
ybiS	1841	793	632	629
bioB	171	42	220	45
mntR	267	142	98	91
ybhH	14	11	4	6
ybiW	90	51	34	53
ybiV	241	78	62	43
ybhI	8	20	6	9
moeB	438	168	219	196
fsaA	43	14	16	16
bioC	94	32	151	36
bioF	166	44	283	46
fsaB	77	10	40	12
hypF	300	109	157	111
dcuR	180	59	69	27
insE-1	0	0	0	0
hsrA	229	88	86	60
rbsR	236	97	63	54
rbsK	508	200	271	120
rbsB	1339	656	824	391
rbsC	459	241	268	128
rbsA	531	281	398	165
rbsD	1028	597	796	325
matB	36	19	18	21
matC	8	7	5	5
ykgL	16	9	13	8
matA	16	14	13	13
ykgM	22	3	8	4
ykgO	21	4	10	5
ykgR	6	1	3	2
yaeI	83	40	34	43
yaeH	234	189	99	126
glnD	481	252	238	206
dapD	3615	1201	1557	831
map	1839	515	892	448
tsf	16742	4832	9370	3899
rpsB	25238	13242	13502	8474
frr	4867	1921	1842	1230
pyrH	1972	567	922	398
ascG	263	121	101	99
atoD	8	6	9	12
atoA	6	4	3	4
ybaT	142	89	31	31
ybaS	30	20	7	15
ybbJ	105	69	48	43
cueR	158	104	72	51
ybbL	91	50	47	33
qmcA	194	99	75	72
ssuD	27	9	17	10
ssuC	21	6	16	9
ssuB	66	32	26	34
pepN	3347	1246	1433	831
pncB	1466	725	489	487
asnS	7204	4478	2935	3161
