	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
rffD	539.353542121018	-0.92229808282068	0.232981427938803	-3.95867641030571	7.53662641379035e-05	0.000817192537110665
rffG	443.873797721173	-0.852925735658818	0.243865455100094	-3.49752586035089	0.00046959518247519	0.0037292030570741
bcsE	199.720479410696	-0.342223437437925	0.294513515748738	-1.16199569506308	0.245237213595875	0.431204518500438
menB	519.947076886939	-0.023325790630983	0.257175991708527	-0.0906997207477264	0.927731192529235	0.962734547339387
menH	187.790283541189	-0.127369950993328	0.374413928413963	-0.340184863134962	0.733717316623407	0.857397472240755
rfaQ	237.601938069675	-0.38803021627448	0.287105204987155	-1.35152623336049	0.176526922302356	0.347002079110326
menD	377.460189697604	-0.0530205730508818	0.295877825826302	-0.17919752148648	0.857782609795188	0.925580430315771
menF	357.882850902414	0.702546360334003	0.283162403091703	2.48107217859173	0.0130987845970915	0.0519916398518475
livM	54.968508188027	0.537225385169569	0.437684436386079	1.22742629279988	0.219662409180704	0.400818045898824
yidL	16.9854400073483	0.981648200720384	0.746749369683362	1.3145618069107	0.188657213166733	NA
elaB	186.606306282753	2.21714053924285	0.300320120514597	7.38259073499236	1.55238665835576e-13	1.54462472506398e-11
elaA	48.2082493738401	0.80881615302409	0.462749406202474	1.74784914293374	0.0804901531657055	0.204581659022976
lplT	233.457051351504	-0.0112031068249394	0.276615831997149	-0.0405005987692521	0.967694029685866	0.983221771997915
aas	434.947006626563	-0.280207170502881	0.252838266005611	-1.10824668642785	0.267755293212889	0.455442163871314
rbn	110.526562920872	0.216689035729856	0.340666671084889	0.636073482151297	0.524728528529276	0.704483910894381
argH	127.858184890949	0.0203173481957896	0.337580097103726	0.0601852667562532	0.952008079867642	0.974274685990191
ptsP	1367.46357788418	-0.591621048570191	0.211252118293283	-2.80054492873221	0.00510164052526643	0.0249405345332028
rppH	568.035064068858	-0.214826916720196	0.232178886801365	-0.925264651234144	0.354828261250095	0.548847826095207
thyA	813.875159036936	-0.967307390422551	0.221436069477486	-4.36833706769212	1.25196166161584e-05	0.000175742170176199
elaD	23.2369561626424	0.726689700105239	0.65594986379961	1.10784335847845	0.267929471038611	0.455480100765638
ygdR	170.706955273895	0.194229907719436	0.311443941014985	0.623643237644783	0.532861908377964	0.711113150312684
tas	795.373785236906	0.0936928210044914	0.22905144015949	0.409047072305036	0.682505116821071	0.821385560371997
mutH	98.3359557923013	0.509714183808113	0.349948105236156	1.45654220206205	0.14524279210866	0.305379966254566
ygdQ	248.911871847168	0.0252652103407138	0.304480006004628	0.0829782246533778	0.933868854101155	0.967027344176372
ytfJ	54.1220876667939	-0.696200631773667	0.458853514224711	-1.51726119598317	0.129200751165867	0.281627668295185
trpD	65.360051529521	1.4477562803887	0.462642121651346	3.12932223987972	0.00175210047952186	0.0107739910292059
trpE	159.757405845638	1.53155797055776	0.439182745262472	3.48729085347476	0.00048794039464335	0.0038034616476462
trpB	230.724389619643	1.15563228995445	0.302139967219792	3.8248243044052	0.000130865379047144	0.00130211052151908
trpC	175.159391084817	1.24061937117989	0.331462457376277	3.74286542433836	0.000181933676843586	0.00167706165875164
yciG	3.87687024647915	2.46322058619272	1.66710367202829	1.47754493468054	0.139529622529757	NA
trpA	183.293132507286	0.766113332737428	0.296308613114226	2.58552501962572	0.0097230815839533	0.041531799240548
yciE	16.4004525231056	1.29494992921452	0.772315941445859	1.67671008679457	0.0935991872114395	NA
yciF	10.1073072798477	2.70882774515074	1.06521433796115	2.54298843774063	0.0109908866005324	NA
yjcH	21.3199064721659	1.4347774809936	0.678534515569757	2.11452394546037	0.0344705417912104	0.108883139943665
yifB	28.7108282946023	0.155669052156803	0.570657229387003	0.272789065204733	0.785015365599622	0.884351309298542
nrfA	65.6211427987205	-0.303666290582681	0.534969135936746	-0.567633289817652	0.570283997749308	0.743274168258906
acs	194.868372154776	1.90565949741101	0.379690879279052	5.01897622884551	5.19475767347839e-07	1.19543988660528e-05
nrfC	15.8204505040513	0.0892964189544176	0.742244581045105	0.120305922380309	0.904240812808414	NA
nrfB	13.7802161947184	-0.605327998527846	0.814155927710101	-0.743503766201635	0.457176742199697	NA
trpL	4.12053413284915	0.35747069847023	1.51523617514992	0.235917478959913	0.813496704781813	NA
yciV	252.275381585345	0.245575773966428	0.312357131621445	0.786201911547993	0.43174920639093	0.624587509451061
hslO	795.367972725163	-1.06017626524142	0.288182208084398	-3.678840107058	0.000234297093184309	0.00205877160062992
ydhC	102.132865863236	0.32641562738824	0.373149014109791	0.874759452780438	0.381704803625751	0.575234832056562
livH	331.838012180341	0.588186828763604	0.940734525529363	0.625242098383307	0.531812175639726	0.710272637263795
yijD	275.474780848131	-0.0689695092158848	0.268294205685165	-0.257066711671062	0.797127274427563	0.892896343116366
rpmG	3286.57335074165	-0.678764612859339	0.230942320798026	-2.93910882385634	0.0032915747950807	0.0173719150261436
fabR	569.384039914235	-0.238149728894119	0.260554720259555	-0.914010418452152	0.360711371291238	0.55467571321739
msrA	133.727468153823	0.369335618685028	0.360293691824504	1.02509598992626	0.30531789748755	0.50043141821724
recD	329.449313978217	-1.08675386818194	0.283544924283732	-3.83273962998	0.00012672405839641	0.00127068115150445
dnaQ	193.198947330614	-0.316915973411517	0.310399111668962	-1.0209951043594	0.307256758175995	0.501907104253689
ynaI	131.232755626905	0.279845997757325	0.40649586103777	0.688435048373894	0.491178859149546	0.675745457707569
